source_code,source_record_id,gid,ward_name,county_name,subcounty_name,dhis2_uid,dhis2_cuid,dhis2_scuid,population_2009,vintage,modified_at,source_status
HDX_ARC_WARDS_1450,PUv9Q5hrTYP,1777,Mosop Ward,Nakuru,Rongai  Sub County,PUv9Q5hrTYP,ob6SxuRcqU4,OK0hW8DFHq3,27047.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,qjDeBQFEB19,1778,Solai Ward,Nakuru,Rongai  Sub County,qjDeBQFEB19,ob6SxuRcqU4,OK0hW8DFHq3,18867.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,vwpMqmZzByo,117,Werugha Ward,TAITA TAVETA,Wundanyi Sub County,vwpMqmZzByo,QyGNX2DpR4h,AM36DdkZ36Y,8676.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,pfFWXloU0jC,1784,Barut Ward,Nakuru,Nakuru West  Sub County,pfFWXloU0jC,ob6SxuRcqU4,KTayLusaU5I,7404.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,LdShr7Egg6N,1785,London Ward,Nakuru,Nakuru West  Sub County,LdShr7Egg6N,ob6SxuRcqU4,KTayLusaU5I,23583.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,PeLH4hGTO17,1799,Chaani Ward,Mombasa,Changamwe Sub County,PeLH4hGTO17,wsBsC6gjHvn,OvI6w06DhPJ,30110.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,RHwexebB7PD,911,Olkeri Ward,KAJIADO,Kajiado North Sub County,RHwexebB7PD,Hsk1YV8kHkT,BLz1HkvvMkA,41641.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,RZsWJRZ4mIG,912,Ongata rongai Ward,KAJIADO,Kajiado North Sub County,RZsWJRZ4mIG,Hsk1YV8kHkT,BLz1HkvvMkA,44678.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,pp24Rb9gQ9W,913,Nkaimurunya Ward,KAJIADO,Kajiado North Sub County,pp24Rb9gQ9W,Hsk1YV8kHkT,BLz1HkvvMkA,55406.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,xvmwT1IuPuK,914,Oloolua Ward,KAJIADO,Kajiado North Sub County,xvmwT1IuPuK,Hsk1YV8kHkT,BLz1HkvvMkA,33754.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
